dataset,branch_length,pi.a,pi.c,pi.g,pi.t,sigma.ac,sigma.ag,sigma.at,sigma.cg,sigma.ct,sigma.gt,omega,rho.phase0,rho.phase1,rho.phase2,avg_gap_length
ATGC111,0.563199152863296,0.187634807901498,0.317163485362831,0.311061554093884,0.184140152641787,1.10962975475396,2.06943366902813,1.0675573304087,1.14352786962916,2.07588889548167,0.737452960107357,0.0849390666540578,0.003044432230811404,0.0018482002192710925,0.0023749977909169185,13.7656804218906
ATGC112,1.05512298173932,0.320655543858512,0.166613290221066,0.203640855530854,0.309090310389568,1.37484659959704,1.99929929135087,0.978048726201263,1.27325443868386,2.04019061151927,0.806969612944481,0.050364302541025,9.880664128577182e-4,5.946257435613404e-4,7.205316922239247e-4,13.568861148355
ATGC117,0.874707580943722,0.286426114333254,0.203990311760769,0.232161044288114,0.277422529617864,1.20128140830016,2.205486707516,0.54445869527417,1.15129691987195,2.31217065892844,0.846446437141398,0.0667168413629382,9.578991438912639e-4,6.528220167796875e-4,7.407805499225291e-4,12.7565813635573
ATGC120,1.1535280204092,0.26986903419976,0.22134977632071,0.241784103826654,0.266997085652875,1.23853090362796,2.07438152281612,0.834186446181105,1.19068343900885,1.9744534061982,0.776724110109246,0.0474342302399755,9.024304716182695e-4,6.239193729106835e-4,6.964492093698905e-4,14.1733344390864
ATGC127,1.15478683511036,0.250342594949083,0.224012077877987,0.262383161453151,0.263262165719779,1.25592810493837,2.15262753105851,0.789410432038302,1.05111248388196,2.10697239661847,0.725390319348166,0.0555503476632763,0.0010465781280069805,6.599012728660521e-4,7.097368759747417e-4,13.6143108121908
ATGC134,0.526020463274066,0.167849943146484,0.328169338434697,0.336966218149947,0.167014500268871,0.948872431297412,2.17321393284932,0.826001140308077,1.1146100589347,2.57893828974404,0.658444339334707,0.0861795488102226,0.0023271880760977284,0.001593537525788999,0.0018994486065063013,13.2466951683858
ATGC136,0.810996846349924,0.20020224767815,0.288938902317982,0.297839765698688,0.21301908430518,1.01698662815097,2.19296010963985,0.867739773809699,0.994752617684213,2.01692631625068,1.0033136492283,0.0623776294614432,0.0012859332729867163,8.446851755038745e-4,0.0010332347353045716,13.7754414868166
ATGC138,1.34720079383659,0.360417470945638,0.124704671839366,0.184416836170841,0.330461021044155,1.40529867269103,2.5365201587695,0.852541180258712,1.74192645159119,2.17481567956812,0.607413930643525,0.0550134807811105,5.40101595143826e-4,3.819108875452647e-4,5.092590843109868e-4,12.045872120269
ATGC143,0.850225753626466,0.373932536580723,0.115723644165595,0.174787653481309,0.335556165772372,1.52681784217907,2.41115124427836,0.851394012998134,1.67497507054316,2.45649823033117,0.686113985338843,0.0786809767694213,0.001487892959740659,7.958145650604591e-4,0.0011006439846270228,13.3663270980547
ATGC145,0.652571906316314,0.390214303979277,0.0987012224894862,0.165099962925967,0.34598451060527,1.751612636844,3.45647343709336,0.248828250222739,0.969055434004333,2.96706697147023,1.03547417871299,0.133276486211063,8.575809653854781e-4,4.949454730661015e-4,6.682175677776204e-4,9.31595818869692
ATGC146,1.06641354199945,0.298277606404135,0.206626462565827,0.261671322816078,0.23342460821396,0.944070756127123,2.5029987260345,0.807383346769772,0.983712017818733,1.89464667815786,0.747705910934961,0.075426144903376,7.678587931390277e-4,4.7713691809700404e-4,5.841877403507141e-4,12.7924164144226
ATGC152,0.956460355198409,0.244465877666059,0.263674329931205,0.298068409735761,0.193791382666975,1.05968559321241,2.55215645336974,0.590177157066224,0.989238003334989,1.8292170413858,0.805841548944948,0.0728607345523489,0.001409223667005401,7.838210351405256e-4,0.00100804987034462,12.6172633418855
