species,name,value,n,f
ATGC352,type_f1,2,718191,0.546489472602896
ATGC352,type_f2,1,1089273,0.8288550361819829
ATGC352,type_f2,2,224917,0.1711449638180172
ATGC361,type_f0,1,1396520,1
ATGC361,type_f0,2,0,0
ATGC361,type_f1,1,607951,0.4353328273136081
ATGC361,type_f1,2,788569,0.5646671726863919
ATGC361,type_f2,1,1105505,0.7916141551857474
ATGC361,type_f2,2,291015,0.20838584481425257
ATGC369,type_f0,1,967073,1
ATGC369,type_f0,2,0,0
ATGC369,type_f1,1,415807,0.4299644390857774
ATGC369,type_f1,2,551266,0.5700355609142226
ATGC369,type_f2,1,733627,0.7586056068156178
ATGC369,type_f2,2,233446,0.24139439318438216
ATGC371,type_f0,1,970825,1
ATGC371,type_f0,2,0,0
ATGC371,type_f1,1,412233,0.4246213272216929
ATGC371,type_f1,2,558592,0.5753786727783071
ATGC371,type_f2,1,725708,0.7475168027193366
ATGC371,type_f2,2,245117,0.2524831972806634
ATGC372,type_f0,1,977796,1
ATGC372,type_f0,2,0,0
ATGC372,type_f1,1,415490,0.424925035487975
ATGC372,type_f1,2,562306,0.575074964512025
ATGC372,type_f2,1,738052,0.7548118421429418
ATGC372,type_f2,2,239744,0.2451881578570581
ATGC374,type_f0,1,1326494,1
ATGC374,type_f0,2,0,0
ATGC374,type_f1,1,605642,0.45657349373611944
ATGC374,type_f1,2,720852,0.5434265062638806
ATGC374,type_f2,1,1097200,0.8271428291420844
ATGC374,type_f2,2,229294,0.1728571708579157
ATGC376,type_f0,1,1247121,1
ATGC376,type_f0,2,0,0
ATGC376,type_f1,1,545246,0.43720376771780767
ATGC376,type_f1,2,701875,0.5627962322821923
ATGC376,type_f2,1,1005517,0.8062706024515665
ATGC376,type_f2,2,241604,0.19372939754843355
ATGC389,type_f0,1,1395636,1
ATGC389,type_f0,2,0,0
ATGC389,type_f1,1,592995,0.4248923071631858
ATGC389,type_f1,2,802641,0.5751076928368142
ATGC389,type_f2,1,1061084,0.760287066255098
ATGC389,type_f2,2,334552,0.23971293374490196
ATGC393,type_f0,1,1270935,1
ATGC393,type_f0,2,0,0
ATGC393,type_f1,1,554630,0.4363952523142411
ATGC393,type_f1,2,716305,0.5636047476857589
ATGC393,type_f2,1,1027494,0.8084551924370641
ATGC393,type_f2,2,243441,0.19154480756293596
ATGC420,type_f0,1,1037689,1
ATGC420,type_f0,2,0,0
ATGC420,type_f1,1,456750,0.44016078034941103
ATGC420,type_f1,2,580939,0.5598392196505889
ATGC420,type_f2,1,846913,0.8161530092349442
ATGC420,type_f2,2,190776,0.1838469907650558
ATGC428,type_f0,1,2474107,1
ATGC428,type_f0,2,0,0
ATGC428,type_f1,1,1041692,0.42103757032335304
ATGC428,type_f1,2,1432415,0.578962429676647
ATGC428,type_f2,1,1845967,0.7461144566504198
ATGC428,type_f2,2,628140,0.2538855433495803
ATGC431,type_f0,1,808250,1
ATGC431,type_f0,2,0,0
ATGC431,type_f1,1,330786,0.40926198577172906
ATGC431,type_f1,2,477464,0.590738014228271
ATGC431,type_f2,1,617450,0.7639344262295082
ATGC431,type_f2,2,190800,0.2360655737704918
